a
zhuo
zi
zong
zou
zu
zuan
zui
zun
zuo
pien
pieh
tsa
tsai
tsan
tsang
tsao
tse
tsen
tseng
chih
chung
cho
tzu
tsung
tsou
tsu
tsuan
tsui
tsun
tso
tei
ten
tien
tiang
tieh
tiu
tung
to
erh
ko
kei
kung
kuei
ho
hung
chia
chien
chiang
chiao
chieh
chin
ching
chiung
chiu
chueh
lien
lieh
lung
lueh
mien
mieh
nien
nieh
nung
no
nueh
jan
jang
jao
je
jen
jeng
jih
jung
jou
jui
jo
shih
shung
ssu
sung
so
hsi
hsia
hsien
hsiang
hsiao
hsieh
hsin
hsing
hsiung
hsiu
hsu
hsuan
hsueh
hsun
yeh
i
yung
yueh
tsei
chei
au
bau
biau
tsau
chau
chr
chuei
chuen
tsz
tsuei
tsuen
tsuo
dau
diau
diou
dung
duei
duen
gau
gung
guei
guen
hau
huei
huen
jiau
jiung
jiou
jiuan
jiue
jiun
kau
kuen
lau
liau
liou
luen
liue
liun
mau
miau
miou
nau
niau
niou
nuen
niue
pau
piau
chian
chiau
chie
chiou
chiuan
chiue
chiun
rau
r
rung
ruei
ruen
sau
shau
shr
shuei
shuen
sz
suei
suen
tau
tiau
tuei
tuen
shia
shian
shiang
shiau
shie
shin
shing
shiung
shiou
shiu
shiuan
shiue
shiun
yau
tza
tzai
tzan
tzang
tzau
tze
tzei
tzen
tzeng
ja
jai
jau
jei
jr
jua
juai
juang
juei
juen
juo
tz
tzung
tzou
tzuan
tzuei
tzuen
tzuo
byan
byau
bye
bwo
chwa
chwai
chwan
chwang
chwei
chwen
chwo
tswan
tswei
tswen
tswo
dyan
dyang
dyau
dye
dyou
dwan
dwei
dwen
dwo
fwo
gwa
gwai
gwan
gwang
gwei
gwun
gwo
hwa
hwai
hwan
hwang
hwei
hwen
hwo
jya
jyan
jyang
jyau
jye
jyung
jyou
jyu
jywan
jywe
jyun
kwa
kwai
kwan
kwang
kwei
kwen
kwo
lya
lyan
lyang
lyau
lye
lyou
lwan
lwun
lwo
lyu
lywe
lyun
myan
myau
mye
myou
mwo
nya
nyan
nyang
nyau
nye
nyou
nwan
nwen
nwo
nyu
nywe
pyan
pyau
pye
pwo
chya
chyan
chyang
chyau
chye
chyung
chyou
chyu
chywan
chywe
chyun
rwan
rwei
rwun
rwo
shwa
shwai
shwan
shwang
shwei
shwun
shwo
swan
swei
swen
swo
tyan
tyau
tye
twan
twei
twen
two
syi
sya
syan
syang
syau
sye
syin
sying
syung
syou
syu
sywan
sywe
syun
ywan
ywe
dza
dzai
dzan
dzang
dzau
dze
dzei
dzen
dzeng
jwa
jwai
jwan
jwang
jwei
jwen
jwo
dz
dzung
dzou
dzu
dzwan
dzwei
dzwen
dzwo
cih
cuei
fong
jyong
jyuan
jyue
lyue
nyue
cia
cian
ciang
ciao
cie
cin
cing
cyong
ciou
cyu
cyuan
cyue
cyun
rih
sih
wun
wong
sia
sian
siang
siao
sie
sin
sing
syong
siou
syuan
syue
jha
jhai
jhan
jhang
jhao
jhe
jhei
jhen
jheng
jhih
jhong
jhou
jhu
jhua
jhuai
jhuan
jhuang
jhuei
jhun
jhuo
zih
zuei
chy
tsy
tsong
el
lha
lhai
lhan
lhang
lhau
lhe
lhei
lheng
lhi
lhia
lhian
lhiang
lhiau
lhie
lhin
lhing
lhiou
lhong
lhou
lhu
lhuan
lhuen
lhuo
lhiu
lhiue
lhiun
mha
mhai
mhan
mhang
mhau
mhei
mhen
mheng
mhi
mhian
mhiau
mhie
mhin
mhing
mhiou
mho
mhou
mhu
nha
nhai
nhan
nhang
nhau
nhe
nhei
nhen
nheng
nhi
nhian
nhiang
nhiau
nhie
nhin
nhing
nhiou
nhong
nhou
nhu
nhuan
nhuen
nhuo
nhiu
nhiue
chiong
rhan
rhang
rhau
rhe
rhen
rheng
rhy
rhong
rhou
rhu
rhuan
rhuei
rhuen
rhuo
shy
sy
ua
uai
uan
uang
uei
uen
ueng
uo
u
shiong
ia
ian
iang
iau
ie
in
ing
iong
iou
iu
iuan
iue
iun
jy
jong
tzy
tzong
ar
air
arn
arng
aur
bar
bair
barn
barng
baur
beir
bern
berng
byi
byn
byng
bor
bwu
tsar
tsair
tsarn
tsarng
tsaur
tser
tsern
tserng
char
chair
charn
charng
chaur
cher
chern
cherng
chyr
chorng
chour
chwu
chuar
tsyr
tsorng
tsour
tswu
dar
dair
darn
darng
daur
der
deir
dern
derng
dyi
dyng
dorng
dour
dwu
eir
ern
erl
far
farn
farng
feir
fern
ferng
for
four
fwu
gar
gair
garn
garng
gaur
ger
geir
gern
gerng
gorng
gour
gwu
gwen
har
hair
harn
harng
haur
her
heir
hern
herng
horng
hour
hwu
jyi
jyn
jyng
kar
kair
karn
karng
kaur
ker
kern
kerng
korng
kour
kwu
lor
mer
niar
our
par
pair
parn
parng
paur
peir
pern
perng
pyi
pyn
pyng
por
pour
pwu
chyi
chyn
chyng
chyong
chyuan
chyue
ry
sar
sair
sarn
sarng
saur
ser
seir
sern
serng
shar
shair
sharn
sharng
shaur
sher
sheir
shern
sherng
shyr
shorng
shour
shwu
shwen
syr
sorng
sour
swu
tar
tair
tarn
tarng
taur
ter
terng
tyi
tyng
torng
tour
twu
shyi
shya
shyan
shyang
shyau
shye
shyn
shyng
shyong
shyou
shyu
shyuan
shyue
shyun
yn
yng
tzar
tzair
tzarn
tzarng
tzaur
tzer
tzeir
tzern
tzerng
jar
jair
jarn
jarng
jaur
jer
jeir
jern
jerng
jyr
jorng
jour
jwu
tzyr
tzorng
tzour
tzwu
tzwan
tzwei
tzwen
tzwo
aa
ae
aan
aang
baa
bae
baan
baang
beei
been
beeng
bii
bean
beau
biee
biin
biing
boo
buu
tsaa
tsae
tsaan
tsaang
tsee
tseen
tseeng
chaa
chae
chaan
chaang
chee
cheen
cheeng
chyy
choong
choou
chuu
chuaa
choai
choan
choang
choei
choen
chuoo
tsyy
tsoong
tsoou
tsuu
tsoan
tsoei
tsoen
tsuoo
daa
dae
daan
daang
dee
deei
deen
deeng
dii
dean
deang
deau
diee
diing
deou
doong
doou
duu
doan
doei
doen
duoo
ee
eei
een
eel
faa
faan
faang
feei
feen
feeng
foo
foou
fuu
gaa
gae
gaan
gaang
gee
geei
geen
geeng
goong
goou
guu
goa
goai
goan
goang
goei
goen
guoo
haa
hae
haan
haang
hee
heei
heen
heeng
hoong
hoou
huu
hoa
hoai
hoan
hoang
hoei
hoen
huoo
jii
jea
jean
jeang
jeau
jiee
jiin
jiing
jeong
jeou
jeu
jeuan
jeue
jeun
kaa
kae
kaan
kaang
kee
keen
keeng
koong
koou
kuu
koa
koai
koan
koang
koei
koen
kuoo
laa
lae
laan
laang
lee
leei
leeng
lii
lea
lean
leang
leau
liee
liin
liing
leou
loo
loong
loou
luu
loan
loen
luoo
leu
leue
leun
maa
mae
maan
maang
mee
meei
meen
meeng
mii
mean
meau
miee
miin
miing
meou
moo
moou
muu
naa
nae
naan
naang
nee
neei
neen
neeng
nii
niaa
nean
neang
neau
niee
niin
niing
neou
noong
noou
nuu
noan
noen
nuoo
neu
neue
oou
paa
pae
paan
paang
peei
peen
peeng
pii
pean
peau
piee
piin
piing
poo
poou
puu
chii
chea
chean
cheang
cheau
chiee
chiin
chiing
cheong
cheou
cheu
cheuan
cheue
cheun
raan
raang
ree
reen
reeng
ryy
roong
roou
ruu
roan
roei
roen
ruoo
saa
sae
saan
saang
see
seei
seen
seeng
shaa
shae
shaan
shaang
shee
sheei
sheen
sheeng
shyy
shoong
shoou
shuu
shoa
shoai
shoan
shoang
shoei
shoen
shuoo
syy
soong
soou
suu
soan
soei
soen
suoo
taa
tae
taan
taang
tee
teeng
tii
tean
teau
tiee
tiing
toong
toou
tuu
toan
toei
toen
tuoo
waa
woai
woan
woang
woei
woen
woeng
woo
wuu
shii
shea
shean
sheang
sheau
shiee
shiin
shiing
sheong
sheou
sheu
sheuan
sheue
sheun
yea
yean
yeang
yeau
yee
yii
yiin
yiing
yeong
yeou
yeu
yeuan
yeue
yeun
tzaa
tzae
tzaan
tzaang
tzao
tzee
tzeei
tzeen
tzeeng
jaa
jae
jaan
jaang
jee
jeei
jeen
jeeng
jyy
joong
joou
juu
joa
joai
joan
joang
joei
joen
juoo
tzyy
tzoong
tzoou
tzuu
tzoan
tzoei
tzoen
tzuoo
ah
ay
ann
anq
aw
bah
bay
bann
banq
baw
bey
benn
benq
bih
biann
biaw
bieh
binn
binq
boh
buh
tsah
tsay
tsann
tsanq
tsaw
tseh
tsenn
tsenq
chah
chay
chann
chanq
chaw
cheh
chenn
chenq
chyh
chonq
chow
chuh
chuah
chuay
chuann
chuanq
chuey
chuenn
chuoh
tsyh
tsonq
tsow
tsuh
tsuann
tsuey
tsuenn
tsuoh
dah
day
dann
danq
daw
deh
dey
denn
denq
dih
diann
dianq
diaw
dieh
dinq
diow
donq
dow
duh
duann
duey
duenn
duoh
eh
ey
enn
ell
fah
fann
fanq
fey
fenn
fenq
foh
fow
fuh
gah
gay
gann
ganq
gaw
geh
gey
genn
genq
gonq
gow
guh
guah
guay
guann
guanq
guey
guenn
guoh
hah
hay
hann
hanq
haw
heh
hey
henn
henq
honq
how
huh
huah
huay
huann
huanq
huey
huenn
huoh
jiah
jiann
jianq
jiaw
jieh
jinn
jinq
jionq
jiow
jiuh
jiuann
jiueh
jiunn
kah
kay
kann
kanq
kaw
keh
kenn
kenq
konq
kow
kuh
kuah
kuay
kuann
kuanq
kuey
kuenn
kuoh
lah
lay
lann
lanq
law
leh
ley
lenq
lih
liah
liann
lianq
liaw
linn
linq
liow
loh
lonq
low
luh
luann
luenn
luoh
liuh
liueh
liunn
mah
may
mann
manq
maw
meh
mey
menn
menq
mih
miann
miaw
minn
minq
miow
moh
mow
muh
nah
nay
nann
nanq
naw
neh
ney
nenn
nenq
nih
niah
niann
nianq
niaw
ninn
ninq
niow
nonq
now
nuh
nuann
nuenn
nuoh
niuh
niueh
ow
pah
pay
pann
panq
paw
pey
penn
penq
pih
piann
piaw
pinn
pinq
poh
pow
puh
chiah
chiann
chianq
chiaw
chinn
chinq
chionq
chiow
chiuh
chiuann
chiueh
chiunn
rann
ranq
raw
reh
renn
renq
ryh
ronq
row
ruh
ruann
ruey
ruenn
ruoh
sah
say
sann
sanq
saw
seh
sey
senn
senq
shah
shay
shann
shanq
shaw
sheh
shey
shenn
shenq
shyh
shonq
show
shuh
shuah
shuay
shuann
shuanq
shuey
shuenn
shuoh
syh
sonq
sow
suh
suann
suey
suenn
suoh
tah
tay
tann
tanq
taw
teh
tenq
tih
tiann
tiaw
tinq
tonq
tow
tuh
tuann
tuey
tuenn
tuoh
wah
way
wann
wanq
wey
wenn
wenq
woh
wuh
shiah
shiann
shianq
shiaw
shieh
shinn
shinq
shionq
shiow
shiuh
shiuann
shiueh
shiunn
yah
yann
yanq
yaw
yih
yinn
yinq
yonq
yow
yuh
yuann
yunn
tzah
tzay
tzann
tzanq
tzaw
tzeh
tzey
tzenn
tzenq
jah
jay
jann
janq
jaw
jeh
jey
jenn
jenq
jyh
jonq
jow
juh
juah
juay
juann
juanq
juey
juenn
juoh
tzyh
tzonq
tzow
tzuh
tzuann
tzuey
tzuenn
tzuoh

kim
jehng
joe
choo
baak
coi
soeng
ceoi
daai
dyun
fung
got
gwok
hon
kok
zoeng
gam
laai
leoi
loeng
lam
mak
ngai
ngau
pun
ceon
jam
siu
sam
sek
taam
tin
ng
sit
jim
joeng
jip
ziu
zung
zau
zhyu
pak
choi
sheung
kot
kwok
cheung
kam
lui
leung
poon
tseun
yam
sum
shek
tam
yim
yeung
yiu
yip
yuen
choy
do
go
goo
gum
lew
lum
muk
yum
sim
sze
tom
vong
eng
siew
ip
chue
pek
choa
siong
thia
png
khng
koh
kat
kiong
koeh
hak
Jao
hoo
khong
loa
looi
lim
lowe
be
beh
phoa
phe
khu
sio
chioh
soh
soon
tham
tng
ong
ngo
siau
him
chhi
giam
iap
oan
tio
chng
peh
sioh
tor
toh
hum
kwee
ooi
kiah
lua
neo
leow
liem
dy
bhay
bhe
ghoo
phua
koo
sng
ham
wee
goh
seow
cheah
hia
ngiam
yeo
yeoh
yap
teo
chew
